Pressure(bar),Loading(mmol/g)
0.2,0.096723227554076
0.8,0.39315949765796
1.4,0.72151212791768
2.0,1.0585987498258
2.6,1.394516510398
3.2,1.7729353678762
3.8,2.1233340216647
4.4,2.4769795124972
5.0,2.9052697869712
5.6,3.180276884598
6.2,3.6175608976839
6.8,3.9693881597718
7.4,4.4454069387926
8.0,5.0707152850966
8.6,5.4735178887752
9.2,6.0242463881785
9.8,6.7247839487919
10.2,6.985050406239
