Pressure(bar),Loading(mmol/g)
0.2,0.022050587171492
0.8,0.09259979249488
1.4,0.1602314081214
2.0,0.22409669277688
2.6,0.29208546047824
3.2,0.36825625753048
3.8,0.4280954642514
4.4,0.49127891312764
5.0,0.56676787440064
5.6,0.62264593992788
6.2,0.68988793510192
6.8,0.75479220761868
7.4,0.82125496190936
8.0,0.89164638902328
8.6,0.96239496821204
9.2,1.034929307775
9.8,1.1151856511322
10.2,1.1304512536095
