Key,Value
Density,0.909567
Density_unit,g/cm^3
Estimated_saturation_loading,10.2344484
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,2189.3
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4391
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.482757
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,4985.87
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.8340942601
adsorption_energy_widom_dev,0.0210066998
adsorption_energy_widom_unit,kJ/mol
henry_coefficient_average,8.82643e-06
henry_coefficient_dev,4.93797e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,False
is_porous,True
temperature,298
temperature_unit,K
