Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,18.5582044
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8550.06
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5937
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.875387
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-16.3965576262
adsorption_energy_widom_dev,0.1201720789
adsorption_energy_widom_unit,kJ/mol
henry_coefficient_average,1.70286e-05
henry_coefficient_dev,2.48619e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,False
is_porous,True
temperature,298
temperature_unit,K
