Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,17.8061902
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,2
POAV_A^3,3155.51
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5552
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.629194
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-11.2231493819
adsorption_energy_widom_dev,0.0351294402
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,9.2753928316
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.37685e-06
henry_coefficient_dev,9.23642e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0054048710341257, 0.018892007126872, 0.026147330467409, 0.036437097585699, 0.076606931918128, 0.017532404251284, 0.042389429756808, 0.07033373857057, 0.075693595400956, 0.064917843474126, 0.054752517659124, 0.032436620433273, 0.088704724589303, 0.049971345297553, 0.094908096050086, 0.069482465629007, 0.065679019899987, 0.094682122274621], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.086360364206862, 0.33684929176978, 0.58410167160865, 0.80624804314316, 0.97575705667984, 1.184766852158, 1.3694321799727, 1.5838224256314, 1.7438121811562, 1.8955160434029, 2.0606379206384, 2.2293936711498, 2.4038361436213, 2.5476597157573, 2.6420493671567, 2.843526532382, 2.9549266839679, 3.0086152991549], 'enthalpy_of_adsorption_dev': [0.33750741230368, 0.22903931888287, 0.34985887106832, 0.39896719130644, 0.37275681158697, 0.60026689281884, 0.60943384633293, 0.58127736898556, 0.47903714881977, 0.65336130303559, 0.30386491565023, 0.28504087367905, 0.43608132332277, 0.67110893550506, 0.36697611267699, 0.68491060337732, 0.86235860084973, 0.43039119336842], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-13.766031943994, -13.811519293607, -13.576397861532, -13.704874992725, -13.847927049296, -14.071842724469, -13.774606021302, -13.740708720993, -13.895678664372, -13.650449228006, -13.913517580837, -13.623519576297, -13.908123352706, -14.039437363332, -13.88419944626, -13.688605339519, -14.047454790352, -13.855205823418]}"
temperature,298
temperature_unit,K
